model_name,threshold,year,mean_pred,mean_abs_div,pct_unrealistic
gam,$3,2055,0.6666666666666666,0.0,1.0
gam,$3,2060,0.6666666666666666,0.0,1.0
gam,$3,2065,0.6666666666666666,0.0,1.0
gam,$3,2070,0.6666666666666666,0.0,1.0
gam,$3,2075,0.6666666666666666,0.0,1.0
gam,$3,2080,0.6666666666666666,0.0,1.0
gam,$3,2085,0.6666666666666666,0.0,1.0
gam,$3,2090,0.6666666666666666,0.0,1.0
gam,$3,2095,0.6666666666666666,0.0,1.0
gam,$3,2100,0.6666666666666666,0.0,1.0
mlp,$3,2055,99.63972735104679,0.08318598567557055,0.9755555555555555
mlp,$3,2060,99.71309737263539,0.15655600726418414,0.98
mlp,$3,2065,99.77257509073269,0.21603372536147042,0.9844444444444445
mlp,$3,2070,99.8189271114553,0.2623857460840956,0.9844444444444445
mlp,$3,2075,99.86311754272704,0.3065761773558284,0.9866666666666667
mlp,$3,2080,99.88871788577144,0.3321765204002285,0.9933333333333333
mlp,$3,2085,99.90244017522865,0.34589880985743104,0.9955555555555555
mlp,$3,2090,99.9139282234111,0.35738685803990256,0.9955555555555555
mlp,$3,2095,99.92541566648576,0.36887430111454994,0.9955555555555555
mlp,$3,2100,99.93726567677392,0.3807243114027199,0.9955555555555555
random_forest,$3,2055,100.0,0.0,1.0
random_forest,$3,2060,100.0,0.0,1.0
random_forest,$3,2065,100.0,0.0,1.0
random_forest,$3,2070,100.0,0.0,1.0
random_forest,$3,2075,100.0,0.0,1.0
random_forest,$3,2080,100.0,0.0,1.0
random_forest,$3,2085,100.0,0.0,1.0
random_forest,$3,2090,100.0,0.0,1.0
random_forest,$3,2095,100.0,0.0,1.0
random_forest,$3,2100,100.0,0.0,1.0
ridge,$3,2055,100.0,0.0,1.0
ridge,$3,2060,100.0,0.0,1.0
ridge,$3,2065,100.0,0.0,1.0
ridge,$3,2070,100.0,0.0,1.0
ridge,$3,2075,100.0,0.0,1.0
ridge,$3,2080,100.0,0.0,1.0
ridge,$3,2085,100.0,0.0,1.0
ridge,$3,2090,100.0,0.0,1.0
ridge,$3,2095,100.0,0.0,1.0
ridge,$3,2100,100.0,0.0,1.0
xgboost_cpu,$3,2055,97.33333333333333,0.8888888888888888,1.0
xgboost_cpu,$3,2060,96.66666666666667,2.0,1.0
xgboost_cpu,$3,2065,96.22222222222223,2.888888888888889,1.0
xgboost_cpu,$3,2070,95.77777777777777,3.7777777777777777,1.0
xgboost_cpu,$3,2075,95.11111111111111,4.444444444444445,1.0
xgboost_cpu,$3,2080,94.88888888888889,4.666666666666667,1.0
xgboost_cpu,$3,2085,94.88888888888889,4.666666666666667,1.0
xgboost_cpu,$3,2090,94.44444444444444,5.111111111111111,1.0
xgboost_cpu,$3,2095,94.66666666666667,4.888888888888889,1.0
xgboost_cpu,$3,2100,94.88888888888889,4.666666666666667,1.0
xgboost_gpu,$3,2055,97.33333333333333,0.8888888888888888,1.0
xgboost_gpu,$3,2060,96.66666666666667,2.0,1.0
xgboost_gpu,$3,2065,96.22222222222223,2.888888888888889,1.0
xgboost_gpu,$3,2070,95.77777777777777,3.7777777777777777,1.0
xgboost_gpu,$3,2075,95.11111111111111,4.444444444444445,1.0
xgboost_gpu,$3,2080,94.88888888888889,4.666666666666667,1.0
xgboost_gpu,$3,2085,94.88888888888889,4.666666666666667,1.0
xgboost_gpu,$3,2090,94.44444444444444,5.111111111111111,1.0
xgboost_gpu,$3,2095,94.66666666666667,4.888888888888889,1.0
xgboost_gpu,$3,2100,94.88888888888889,4.666666666666667,1.0
